breed_name,min_weight,max_weight,height,group
Redbone Coonhound,49,90,21,Hound
Rhodesian Ridgeback,59,97,24,Middle East and African
Rottweiler,72,132,23,Guard
Jack Russell Terrier,12,24,10,Terrier
Saint Bernard,106,186,32,Mountain dogs
Saluki,40,67,23,Middle East and African
Samoyed,37,70,18,Asian
Schipperke,9,19,9,Companion
Scottish Deerhound,62,121,28,Sighthound
Scottish Terrier,16,30,10,Terrier
Sealyham Terrier,13,29,11,Terrier
Shetland Sheepdog,12,24,13,Herding
Shiba Inu,15,29,13,Asian
Shih Tzu,10,21,10,Companion
Siberian Husky,34,67,21,Asian
Silky Terrier,6,15,9,Terrier
Skye Terrier,19,42,9,Terrier
Sloughi,35,65,24,Middle East and African
Small Münsterlander,35,50,17,Sporting
Fox Terrier (Smooth),12,28,15,Terrier
Soft Coated Wheaten Terrier,24,51,18,Terrier
Spanish Water Dog,24,54,16,Sporting
Spinone Italiano,52,96,22,Sporting
Staffordshire Bull Terrier,23,46,13,Guard
Standard Schnauzer,26,46,18,Terrier
Sussex Spaniel,32,55,15,Sporting
Swedish Vallhund,20,36,12,Companion
Tibetan Mastiff,140,170,25,Asian
Tibetan Spaniel,9,19,9,Companion
Tibetan Terrier,18,33,14,Companion
Fox Terrier (Toy),3,10,9,Terrier
Treeing Walker Coonhound,48,76,20,Hound
Vizsla,46,73,21,Sporting
Weimaraner,54,97,22,Sporting
Welsh Springer Spaniel,37,44,19,Sporting
Welsh Terrier,15,29,22,Terrier
West Highland White Terrier,11,23,11,Terrier
Whippet,26,45,17,Sighthound
White Swiss Shepherd,55,88,22,Herding
Fox Terrier (Wire),12,28,15,Terrier
Wirehaired Pointing Griffon,40,67,20,Sporting
Wirehaired Vizsla,48,66,21,Sporting
Xoloitzcuintli,5,45,10,Terrier
Yorkshire Terrier,2,10,7,Terrier
